Title,Published_date,Views,Likes,Dislikes,Comments,video_id
Mahindra Scorpio N All Details - Prices Revealed,2022-06-27T14:46:15Z,3225747,85001,,4642,n_IhFx5Tn0c
Mahindra Scorpio-N Launch - LIVE,2022-06-27T12:19:36Z,123857,2512,,136,6M2xTVhaacM
BMW iX - ka hidden feature,2022-06-27T11:52:26Z,772294,61339,,69,a76pfQAUxEk
Toyota Innova Crysta purchase ki instead of Creta - Owner ka reason suno,2022-06-27T06:45:01Z,261437,6389,,450,7_8D5vH8wPg
Hidden feature of BMW logo,2022-06-26T12:39:19Z,369307,37288,,137,DBgCGyGg1Ys
Convenience feature in Mercedes,2022-06-26T09:30:05Z,261419,20590,,101,W5QS-pweJ4w
Best Car in 11 lakhs - LIVE,2022-06-26T08:10:07Z,31244,1154,,71,cXCoLCpl_fk
Sportscar chalane ke problems,2022-06-25T12:34:36Z,1877236,181448,,204,mTEdc00OFKI
Ye steering wheel Gol nahi hai 😀,2022-06-25T08:52:00Z,197660,17606,,274,-8Fz0-64ME4
European Car - New User  Problems - Part 2,2022-06-25T05:52:00Z,154432,9745,,58,_f4nWn17s-g
Magical Feature - BMW iX,2022-06-24T14:27:14Z,3184898,315691,,627,bbcUPCgxwDw
Maruti Ertiga CNG Review - More features now!,2022-06-24T06:45:00Z,171723,3823,,171,J4d0ktzyLS0
New Hyundai Venue - New Style and Features?,2022-06-23T09:30:17Z,306041,6874,,385,Up_6IkBLFnQ
Electric Seat Adjustment - Shayad hi dekha hoga,2022-06-23T05:44:00Z,162114,13461,,41,jZedUAGS-gc
European car - First time Problems - Part 1,2022-06-22T14:37:24Z,259069,11782,,58,qDcz4xdQjqE
Mercedes AMG GLE63S - Expensive than a house!,2022-06-22T06:45:00Z,70413,2489,,90,8W57QcPkp_8
Best Feature in a Car - Loved it!,2022-06-21T13:30:11Z,111308,8760,,70,qxNI6cnobMA
Mahindra XUV700 Diesel Auto - 1500km Maha- Mileage RUN,2022-06-21T06:45:02Z,271670,8013,,440,oQ0NImB6Kao
Luxury Gaadi ke Problems - Part 3,2022-06-20T14:30:20Z,1174961,64988,,156,q7o_oQtD98s
Kia Carens - 5 Reasons to Consider,2022-06-20T06:45:02Z,222204,5108,,416,VfJIv2kb56U
New BMW X4 - Looks are Killer!,2022-06-19T09:12:40Z,213125,5493,,140,1CLL4NY6kxY
Best Car in 15 lakhs - LIVE,2022-06-19T06:08:56Z,89644,2757,,153,favwN6-77XQ
Sabse unique sunroof - kabhi nahi dekha hoga,2022-06-19T04:19:13Z,596362,55058,,351,IaJCHRt5ZKQ
BMW ka Advanced Door Opening,2022-06-18T12:32:02Z,3067670,237849,,697,ucHhAKzV2l4
Mahindra Scorpio-N - 5 Reasons to get Excited!,2022-06-18T06:15:21Z,419212,10570,,557,W1Qox9nSzFA
Luxury Gaadi ke Problems - Part 2,2022-06-17T13:19:58Z,4398365,245696,,151,GUAYaQVJqH4
Kamaal ka door handle,2022-06-17T08:59:13Z,1019130,77116,,547,aICRqrEGqf8
Ola S1 Pro - Move OS 2 Tested!,2022-06-17T05:47:28Z,121467,3781,,322,oeTNVO20PMA
2022 Hyundai Venue - Kaisi lagi? SXO Top model,2022-06-16T09:50:44Z,252128,6497,,369,oSBPAJinYFs
Hyundai Venue Launch - LIVE,2022-06-16T07:29:00Z,38527,919,,32,raI13pMgVrw
Scooter se party - with Music,2022-06-15T15:42:09Z,72042,4528,,110,0ITn3jkN7fk
Sports car mein ye bahut kaam ka hai,2022-06-15T14:38:53Z,112695,12227,,24,QflgT2Yw9Gw
Citroen C3 - Tiago ke price mein Altroz size gaadi,2022-06-15T06:30:00Z,541412,8696,,621,3nHSkkkPhU4
Sports Car ka anokha door,2022-06-14T14:16:24Z,188805,13134,,80,UCygQl_YBt0
Tata Punch Creative Variant - Kya kya aata hai isme?,2022-06-14T11:18:03Z,72204,1970,,84,yitWamyDFIM
Jeep Compass Sport - Kia Seltos ko bhula dega!!,2022-06-13T14:35:38Z,185495,3747,,246,FdlrR_G8CGE
Mahindra ka Software Update,2022-06-13T05:49:27Z,142453,9700,,72,Qlza0hvBYfY
Luxury Gaadi ke Problems!,2022-06-12T14:30:16Z,585473,42604,,172,jxpFSu3V4wI
Ye gaadi aap ke style se ban sakti hai,2022-06-12T10:30:09Z,47051,1963,,32,xLqWuOHoaOs
4x4 ki puri kahaani,2022-06-12T08:30:00Z,48980,3329,,23,1KJ9Btle-5k
Best Car in 11lakhs - LIVE,2022-06-12T07:06:59Z,35157,1451,,96,ZDZIGMW6i2k
Remote se gaadi chalu,2022-06-11T10:09:09Z,127498,9075,,84,qLlZdqTtobo
Nissan Magnite Asli Test - 1 min mein,2022-06-11T09:04:53Z,116528,8658,,104,mEGqNawPWc0
2022 Bajaj Chetak - Naya kya hai?,2022-06-10T12:01:25Z,239394,5457,,369,8WMfMGkOgfM
Sabse badi boot hai ye,2022-06-10T11:12:03Z,29939,2410,,48,KhgxBuTIX-s
Citroen C3 - Swift or Baleno Competition?,2022-06-09T14:04:57Z,155457,4373,,473,frtAOY-MNes
Scooter mein aa gaya proper Navigation,2022-06-08T14:36:12Z,54442,4584,,51,YQHFUkvedUI
Cost Cut - Expensive Gaadiyon mein,2022-06-08T09:02:39Z,400452,28637,,172,-PWqJxu8Ays
New KTM RC390 - Aa gayi!,2022-06-08T06:45:00Z,20658,996,,77,dhRrPLN6BfI
Top 10 Cars in June 2022,2022-06-07T10:11:47Z,97516,3489,,195,jTSU70oHC28
Rs.15 lakh Skoda Kushaq Ambition - All Details,2022-06-07T06:45:01Z,53706,1068,,106,OGyTL6Rjc8o
"19,000km Mahindra Thar Petrol Owners Review",2022-06-06T07:19:47Z,82602,2682,,145,VR-HhfsL904
New Hyundai Venue - 5 Reasons to WAIT,2022-06-05T11:18:56Z,214784,5578,,417,daoXxDTQql4
Nissan Magnite - Service Cost in 1 Min,2022-06-04T09:20:05Z,71747,5692,,93,IIBzbZ44s-w
Land Rover Defender 2022 - Style & Fun!,2022-06-03T08:16:26Z,340817,8673,,198,6wP91ZiEuto
Kia EV6 is here - All details,2022-06-02T16:49:23Z,75961,1923,,126,JAZt6s-kaTw
Nissan Magnite mein Safety kaisi hai?,2022-06-02T08:12:02Z,240592,17290,,182,xp6eWPTwDS0
Is Toyota Fortuner worth Rs 50 lakhs?,2022-06-01T09:19:44Z,666696,15732,,1342,LTzSzkkCHGM
Tata Nexon XZ+ HS Walkaround - what will it offer?,2022-05-31T08:00:01Z,195116,4338,,345,5zxeJlQtAVA
Scooter mein cruise control,2022-05-30T14:15:01Z,761144,70675,,373,_DEeO58NMkU
